Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,3,10.12,10.85,1091,10.94,7.03,59,,,
m,3,26.05,37.29,4822,29.66,23.48,224,,,
m,3,7.35,7.80,542,7.77,4.43,54,,,
m,3,9.12,18.72,2329,9.54,6.15,87,,,
m,3,12.72,19.17,1878,13.72,9.89,97,,,
m,3,13.24,17.61,1518,14.22,10.69,108,,,
m,3,10.69,17.89,1557,11.36,7.88,94,,,
m,3,14.22,24.76,2497,14.92,11.28,125,,,
m,3,23.77,41.70,4368,26.31,21.04,239,,,
m,3,10.05,10.84,1028,10.78,7.15,75,,,
m,3,10.68,12.38,1136,11.53,7.79,82,,,
m,3,9.43,10.73,975,10.06,6.48,60,,,
m,3,10.55,11.36,1154,11.36,7.62,70,,,
m,3,25.51,35.78,4132,29.10,23.10,238,,,
m,3,12.12,13.33,1380,13.05,9.17,81,,,
m,3,17.39,23.04,2460,18.72,15.36,165,,,
m,3,11.01,23.38,2894,11.52,8.17,124,,,
m,3,9.23,9.61,837,9.87,6.44,55,,,
m,3,9.27,10.19,980,9.96,6.38,75,,,
m,3,7.51,9.29,787,7.88,4.74,49,,,
m,3,6.12,5.95,479,6.33,3.44,37,,,
m,3,11.40,13.70,1329,12.27,8.60,83,,,
m,3,17.82,22.82,2631,19.34,15.92,144,,,
m,3,11.20,17.65,1918,12.02,8.20,92,,,
m,3,32.22,52.74,5258,37.21,31.57,327,,,
m,3,28.87,42.81,7017,33.84,27.36,249,,,
m,3,22.47,31.29,4549,25.63,19.45,184,,,
m,3,25.73,37.03,5088,29.54,22.98,272,,,
m,3,31.36,40.25,6368,37.32,26.00,274,,,
m,3,18.39,26.39,3341,20.81,16.33,184,,,
m,3,24.55,33.13,6054,28.59,19.29,217,,,
m,3,21.82,29.39,3903,25.03,18.22,148,,,
m,3,21.67,33.31,5436,24.90,17.79,183,,,
m,3,22.10,31.99,4536,26.39,19.99,202,,,
m,3,28.10,38.85,5190,32.86,24.71,253,,,
m,3,35.11,51.81,7796,42.28,31.70,332,,,
m,3,22.98,37.76,5522,26.32,18.95,222,,,
m,3,26.11,39.36,5264,28.37,22.22,262,,,
m,3,36.54,53.60,6482,43.24,34.29,358,,,
m,3,22.44,34.80,4542,25.00,19.17,229,,,
m,3,13.81,30.60,5925,17.07,16.42,138,,,
m,3,16.45,28.47,3690,19.93,15.80,149,,,
m,3,25.23,40.89,4935,29.36,24.52,296,,,
m,3,24.66,57.85,19415,28.45,24.27,266,,,
m,3,30.42,44.36,6903,34.80,27.05,285,,,
m,3,26.63,36.85,3516,30.34,24.32,232,,,
m,3,21.78,40.89,4994,23.95,20.12,172,,,included
m,3,11.54,24.13,2616,11.68,8.80,118,,,
m,3,24.78,37.48,5679,28.08,22.70,207,,,
m,3,20.53,37.34,6288,24.76,21.98,191,,,
m,3,25.29,44.27,6184,28.91,22.36,237,,,
m,3,27.75,35.09,2651,30.03,22.95,245,,,
m,3,58.50,91.64,10155,73.70,58.81,574,,,
m,3,5.60,8.85,67,3.76,1.26,8,,,
m,3,23.89,40.07,4398,25.82,19.42,201,,,
m,3,20.17,36.45,5516,22.98,17.41,188,,,
m,3,16.19,25.05,4466,18.14,13.25,164,,,
m,3,22.67,43.51,5644,25.78,19.89,223,,,
